"","sample","highest similarity","duration","start month","month set","similarity index","dataset"
"1",1,0.843408785855763,4,12,48,"Bray-Curtis","run 2"
"2",2,0.75350549391402,7,11,83,"Bray-Curtis","run 2"
"3",3,0.507192818812209,1,2,2,"Bray-Curtis","run 2"
