"","n","V2"
"457",359,83
"458",360,25
"459",361,60
"460",362,83
"461",363,71
"462",364,59
"463",365,25
"464",366,37
"465",366,49
"466",367,60
"467",368,60
"468",368,71
"469",369,59
"470",369,83
"471",370,72
"472",371,37
"473",372,36
"474",372,71
"475",373,59
"476",374,25
"477",375,24
"478",376,59
"479",377,49
"480",377,60
"481",377,72
"482",378,60
"483",379,83
"484",380,36
"485",380,48
"486",380,60
"487",381,48
"488",382,71
"489",382,83
"490",383,48
"491",384,71
"492",384,72
"493",385,13
"494",386,24
"495",387,48
"496",388,60
"497",389,36
"498",390,59
"499",390,60
"500",390,71
"501",391,13
"502",391,25
"503",391,37
"504",392,13
"505",392,60
"506",393,59
"507",394,59
"508",395,60
"509",396,48
"510",397,71
"511",398,60
"512",399,59
"513",399,60
"514",400,48
"515",401,49
"516",401,71
"517",402,60
"518",403,36
"519",403,60
"520",404,71
"521",405,37
"522",406,48
"523",407,72
"524",408,60
"525",408,71
"526",409,48
"527",410,59
"528",411,37
"529",412,59
"530",413,60
"531",413,71
"532",414,48
"533",415,71
"534",416,25
"535",417,48
"536",417,72
"537",418,59
"538",419,71
"539",420,60
"540",421,48
"541",422,59
"542",423,60
"543",424,71
"544",425,83
"545",426,72
"546",427,2
"547",428,71
"548",429,25
"549",430,37
"550",430,48
"551",431,47
"552",431,71
"553",432,71
"554",433,35
"555",433,82
"556",434,47
"557",434,48
"558",434,71
"559",434,83
"560",435,36
"561",436,47
"562",436,59
"563",437,71
"564",438,48
"565",439,48
"566",440,48
"567",441,37
"568",441,48
"569",442,36
"570",443,36
"571",444,24
"572",445,24
"573",446,83
"574",447,60
"575",448,25
"576",449,37
"577",450,24
"578",451,47
"579",452,13
"580",452,36
"581",453,36
"582",453,59
"583",454,25
"584",454,60
"585",455,47
"586",456,48
"587",457,48
"588",458,83
"589",459,60
"590",460,71
"591",461,59
"592",462,60
"593",463,60
"594",464,48
"595",464,83
"596",465,36
"597",465,71
"598",466,24
"599",466,60
"600",467,36
"601",468,60
"602",469,59
"603",470,2
"604",471,59
"605",471,71
"606",472,71
"607",472,72
"608",473,24
"609",473,47
"610",473,48
"611",474,48
"612",475,13
"613",475,60
"614",476,60
"615",477,60
"616",478,1
"617",478,36
"618",479,47
"619",480,13
"620",481,83
"621",482,59
"622",483,60
"623",484,25
"624",485,71
"625",486,71
"626",487,25
"627",487,37
"628",488,36
"629",488,49
"630",489,60
"631",490,25
"632",490,60
"633",491,25
"634",492,48
"635",493,36
"636",494,60
"637",494,71
"638",495,71
"639",496,48
"640",497,71
"641",498,24
"642",498,59
"643",498,83
"644",499,48
"645",500,48
"646",500,60
"647",501,25
"648",502,25
"649",502,60
"650",503,48
"651",504,47
"652",504,71
"653",505,71
"654",506,71
"655",507,36
"656",507,60
"657",508,24
"658",508,48
"659",508,59
"660",509,37
"661",510,71
"662",511,1
"663",512,59
"664",513,25
"665",514,83
"666",515,47
"667",515,48
"668",516,48
"669",516,59
"670",517,48
"671",517,59
"672",517,83
"673",518,72
"674",519,60
"675",520,72
"676",521,71
"677",522,36
"678",523,71
"679",524,60
"680",525,60
"681",526,59
"682",527,59
"683",528,60
"684",529,48
"685",530,25
"686",530,72
"687",531,72
"688",532,71
"689",533,71
"690",534,60
"691",535,48
"692",535,60
"693",536,71
"694",537,60
