"","n","V2"
"1",1,71
"2",2,71
"3",3,37
"4",3,48
"5",3,60
"6",3,71
"7",4,11
"8",4,95
"9",5,60
"10",5,72
"11",5,83
"12",6,70
"13",7,95
"14",8,83
"15",9,83
"16",10,83
"17",11,13
"18",11,25
"19",12,48
"20",12,72
"21",12,84
"22",13,47
"23",14,48
"24",15,72
"25",15,83
"26",16,72
"27",17,47
"28",18,84
"29",19,72
"30",20,59
"31",20,60
"32",21,72
"33",22,25
"34",23,83
"35",24,72
"36",25,83
"37",26,48
"38",27,48
"39",27,60
"40",28,72
"41",29,60
"42",30,83
"43",31,49
"44",31,84
"45",31,95
"46",32,83
"47",33,13
"48",33,60
"49",34,71
"50",35,48
"51",36,59
"52",37,71
"53",38,83
"54",39,37
"55",40,72
"56",41,47
"57",42,59
"58",42,95
"59",43,48
"60",44,60
"61",44,71
"62",44,95
"63",45,84
"64",46,83
"65",47,13
"66",48,84
"67",49,59
"68",50,72
"69",51,24
"70",51,59
"71",51,95
"72",52,47
"73",53,35
"74",54,60
"75",55,60
"76",56,83
"77",57,59
"78",58,47
"79",58,95
"80",59,83
"81",60,83
"82",60,84
"83",61,48
"84",62,71
"85",63,71
"86",64,94
"87",65,72
"88",66,25
"89",67,71
"90",68,48
"91",69,59
"92",69,95
"93",70,25
"94",70,37
"95",71,84
"96",72,95
"97",73,84
"98",74,83
"99",75,84
"100",76,71
"101",77,48
"102",78,83
"103",79,25
"104",79,36
"105",80,61
"106",80,83
"107",81,71
"108",82,94
"109",83,48
"110",84,72
"111",85,71
"112",86,72
"113",87,72
"114",88,48
"115",89,60
"116",90,60
"117",91,59
"118",91,60
"119",91,72
"120",91,84
"121",92,48
"122",93,36
"123",94,1
"124",94,25
"125",95,25
"126",96,13
"127",97,71
"128",98,84
"129",99,59
"130",100,82
"131",101,71
"132",102,48
"133",103,71
"134",104,59
"135",105,25
"136",106,70
"137",107,72
"138",108,84
"139",109,84
"140",110,72
"141",111,48
"142",111,83
"143",111,106
"144",112,47
"145",113,48
"146",113,71
"147",114,24
"148",115,59
"149",116,36
"150",117,106
"151",118,49
"152",119,60
"153",120,71
"154",121,59
"155",122,59
"156",123,13
"157",123,72
"158",123,83
"159",124,83
"160",125,72
"161",126,60
"162",126,71
"163",126,83
"164",127,72
"165",128,83
"166",129,84
"167",130,59
"168",131,49
"169",132,36
"170",132,95
"171",133,71
"172",134,24
"173",134,47
"174",134,59
"175",135,48
"176",136,60
"177",136,83
"178",137,2
"179",137,37
"180",138,48
"181",139,83
"182",139,84
"183",140,59
"184",140,71
"185",140,72
"186",140,95
"187",141,94
"188",142,37
"189",143,48
"190",144,83
"191",145,72
"192",145,83
"193",146,48
"194",147,24
"195",147,83
"196",147,95
"197",148,83
"198",149,83
"199",150,71
"200",151,83
"201",152,25
"202",153,25
"203",154,71
"204",155,82
"205",156,24
"206",156,71
"207",157,70
"208",158,59
"209",158,60
"210",158,83
"211",159,48
"212",159,95
"213",160,83
"214",161,47
"215",161,95
"216",162,59
"217",163,60
"218",164,25
"219",165,71
"220",166,94
"221",167,36
"222",167,60
"223",167,84
"224",168,71
"225",169,48
"226",169,59
"227",169,95
"228",170,95
"229",171,71
"230",171,72
"231",172,37
"232",172,49
"233",172,83
"234",173,48
"235",174,59
"236",175,59
"237",176,48
"238",177,71
"239",177,83
"240",178,59
"241",179,71
"242",180,48
"243",181,83
"244",181,84
"245",182,47
"246",182,71
"247",183,37
"248",184,94
"249",185,48
"250",186,25
"251",187,95
"252",188,95
"253",189,83
"254",190,95
"255",191,59
"256",192,106
"257",193,95
"258",194,48
"259",194,95
"260",195,25
"261",195,48
"262",195,72
"263",195,84
"264",196,84
"265",196,95
"266",197,95
"267",198,84
"268",199,84
"269",200,95
"270",201,71
"271",202,37
"272",203,84
"273",204,84
"274",205,24
"275",205,48
"276",206,59
"277",207,59
"278",207,95
"279",208,95
"280",209,83
"281",210,72
"282",211,95
"283",212,13
"284",213,72
"285",214,24
"286",215,95
"287",216,83
"288",217,1
"289",217,72
"290",217,95
"291",218,13
"292",219,72
"293",219,95
"294",220,84
"295",220,94
"296",221,95
"297",222,83
"298",223,60
"299",224,25
"300",225,48
"301",226,95
"302",227,48
"303",228,37
"304",229,48
"305",229,71
"306",230,83
"307",231,95
"308",232,60
"309",232,71
"310",233,71
"311",234,95
"312",235,25
"313",236,72
"314",237,83
"315",238,71
"316",239,60
"317",239,71
"318",240,59
"319",240,83
"320",240,95
"321",241,95
"322",242,83
"323",243,83
"324",243,84
"325",244,72
"326",244,83
"327",245,59
"328",245,72
"329",246,60
"330",246,95
"331",247,60
"332",248,83
"333",249,95
"334",250,83
"335",251,47
"336",252,71
"337",253,59
"338",254,71
"339",255,72
"340",256,36
"341",256,95
"342",257,71
"343",258,83
"344",259,71
"345",259,72
"346",259,83
"347",260,13
"348",261,95
"349",262,95
"350",263,83
"351",264,84
"352",265,25
"353",266,83
"354",267,37
"355",267,95
"356",268,60
"357",268,83
"358",269,82
"359",270,48
"360",271,37
"361",271,84
"362",272,47
"363",273,59
"364",274,25
"365",274,49
"366",274,60
"367",275,48
"368",276,71
"369",277,83
"370",278,71
"371",279,25
"372",280,48
"373",281,60
"374",282,48
"375",283,72
"376",283,84
"377",284,71
"378",285,48
"379",285,95
"380",286,47
"381",286,48
"382",286,60
"383",287,72
"384",288,59
"385",289,60
"386",290,83
"387",291,72
"388",292,48
"389",292,95
"390",293,37
"391",294,13
"392",295,71
"393",295,95
"394",296,48
"395",296,84
"396",296,95
"397",297,37
"398",297,60
"399",297,71
"400",298,48
"401",298,83
"402",298,95
"403",299,59
"404",300,84
"405",301,84
"406",301,95
"407",302,72
"408",303,48
"409",304,71
"410",305,83
"411",306,60
"412",307,48
"413",307,83
"414",308,71
"415",309,84
"416",310,72
"417",311,48
"418",312,60
"419",313,95
"420",314,59
"421",315,83
"422",316,71
"423",317,60
"424",318,71
"425",319,59
"426",320,48
"427",321,47
"428",321,71
"429",321,95
"430",322,47
"431",323,83
"432",324,84
"433",325,60
"434",326,59
"435",326,72
"436",327,36
"437",328,95
"438",329,59
"439",329,83
"440",330,95
"441",331,13
"442",331,83
"443",332,95
"444",333,36
"445",333,60
"446",333,84
"447",334,47
"448",335,59
"449",335,84
"450",336,72
"451",337,60
"452",338,83
"453",339,47
"454",339,83
"455",340,95
"456",341,59
"457",341,106
"458",342,72
"459",342,84
"460",343,72
"461",344,48
"462",344,72
"463",345,25
"464",346,25
"465",347,71
"466",348,83
"467",348,95
"468",349,12
"469",349,59
"470",350,83
"471",351,36
"472",352,36
"473",352,59
"474",352,60
"475",353,48
"476",354,95
"477",355,71
"478",356,72
"479",357,71
"480",358,72
"481",359,83
"482",360,60
"483",361,59
"484",362,95
"485",363,95
"486",364,95
"487",365,71
"488",366,83
"489",367,83
"490",368,36
"491",368,83
"492",369,13
"493",370,83
"494",371,36
"495",372,84
"496",373,71
"497",374,59
"498",374,72
"499",374,83
"500",375,60
"501",376,72
"502",377,83
"503",378,25
"504",378,61
"505",379,72
"506",379,83
"507",380,48
"508",381,83
"509",382,60
"510",383,36
"511",384,95
"512",385,71
"513",386,95
"514",387,72
"515",387,84
"516",388,95
"517",389,36
"518",389,59
"519",389,71
"520",389,83
"521",390,48
"522",390,95
"523",391,95
"524",392,72
"525",393,83
"526",393,95
"527",394,95
"528",395,71
"529",396,95
"530",397,25
"531",398,95
"532",399,95
"533",400,59
"534",401,59
"535",401,95
"536",402,95
"537",403,72
"538",403,84
"539",404,59
"540",405,72
"541",406,47
"542",407,35
"543",407,106
"544",408,59
"545",409,48
"546",410,83
"547",411,60
"548",411,83
"549",411,95
"550",412,13
"551",412,95
"552",413,72
"553",414,59
"554",415,84
"555",416,83
"556",417,84
"557",418,84
"558",419,83
"559",420,71
"560",421,61
"561",422,49
"562",423,47
"563",423,71
"564",424,71
"565",425,84
"566",426,49
"567",426,84
"568",427,71
"569",428,48
"570",428,84
"571",428,95
"572",428,106
"573",429,84
"574",430,48
"575",430,82
"576",431,95
"577",432,48
"578",433,24
"579",433,72
"580",434,47
"581",435,60
"582",436,84
"583",437,95
"584",438,48
"585",439,37
"586",439,72
"587",440,60
"588",441,48
"589",442,48
"590",443,71
"591",444,25
"592",445,36
"593",445,72
"594",445,95
"595",446,25
"596",446,60
"597",447,71
"598",448,60
"599",449,71
"600",450,94
"601",451,48
"602",452,61
"603",453,83
"604",454,24
"605",455,71
"606",455,95
"607",456,83
"608",457,60
"609",458,47
"610",458,83
"611",459,72
"612",460,61
"613",461,48
"614",461,60
"615",462,36
"616",462,48
"617",463,72
"618",464,48
"619",465,48
"620",466,36
"621",466,83
"622",467,60
"623",468,61
"624",469,37
"625",470,84
"626",471,71
"627",471,82
"628",472,48
"629",473,36
"630",474,36
"631",475,47
"632",475,72
"633",475,83
"634",476,72
"635",477,61
"636",478,47
"637",478,59
"638",479,13
"639",479,36
"640",479,71
"641",480,84
"642",481,72
"643",482,95
"644",483,60
"645",483,71
"646",483,72
"647",484,60
"648",485,72
"649",486,59
"650",486,83
"651",487,84
"652",488,48
"653",489,60
"654",490,72
"655",491,59
"656",491,71
"657",492,84
"658",493,71
"659",494,83
"660",495,83
"661",496,47
"662",496,84
"663",497,47
"664",497,95
"665",498,95
"666",499,71
"667",499,72
"668",500,59
"669",501,36
"670",501,59
"671",502,83
"672",503,83
"673",504,71
"674",505,60
"675",506,48
"676",506,95
"677",507,48
"678",507,71
"679",508,84
"680",509,59
"681",509,60
"682",510,83
"683",511,84
"684",512,36
"685",513,72
"686",514,95
"687",515,72
"688",516,59
"689",516,71
"690",516,72
"691",517,59
"692",518,61
"693",518,95
"694",519,72
"695",520,72
"696",521,95
"697",522,84
"698",523,83
"699",524,37
"700",524,71
"701",524,72
"702",525,72
"703",526,35
"704",527,48
"705",528,95
"706",529,95
"707",530,61
"708",531,95
"709",532,83
"710",533,25
"711",534,48
"712",535,84
"713",536,25
"714",536,37
"715",537,48
"716",537,72
"717",538,95
"718",539,60
"719",539,71
"720",539,83
"721",540,24
"722",541,106
"723",542,59
"724",543,71
"725",543,95
"726",544,59
"727",544,60
"728",544,83
"729",544,84
"730",545,59
"731",546,95
"732",547,72
"733",547,83
"734",548,83
"735",548,84
"736",549,95
"737",550,84
"738",551,60
"739",552,48
"740",553,59
"741",553,84
"742",554,36
"743",555,60
"744",556,95
"745",557,59
"746",558,48
"747",559,59
"748",560,72
"749",561,25
"750",562,61
"751",563,60
"752",564,71
"753",565,83
"754",566,95
"755",567,60
"756",568,84
"757",569,59
"758",570,59
"759",570,83
"760",571,25
"761",571,60
"762",572,72
"763",573,60
"764",573,71
"765",574,35
"766",575,48
"767",575,84
"768",575,95
"769",576,59
"770",577,84
"771",578,24
"772",578,71
"773",579,84
"774",580,95
"775",581,60
"776",582,71
"777",582,72
"778",582,84
"779",583,72
"780",584,95
"781",585,95
"782",586,83
"783",587,36
"784",587,60
"785",588,84
"786",589,95
"787",590,84
"788",591,25
"789",591,72
"790",592,48
"791",593,95
"792",594,36
"793",595,59
"794",596,25
"795",596,37
"796",597,71
"797",598,48
"798",599,60
"799",599,72
"800",600,36
"801",600,83
"802",601,71
"803",602,72
"804",603,72
"805",604,72
"806",604,95
"807",605,13
"808",606,48
"809",607,95
"810",608,83
"811",609,95
"812",610,106
"813",611,60
"814",611,95
"815",612,72
"816",613,84
"817",614,25
"818",615,60
"819",615,71
"820",616,60
"821",617,71
"822",618,84
"823",618,95
"824",619,71
"825",620,60
"826",621,37
"827",622,49
"828",623,13
"829",623,49
"830",624,84
"831",625,83
"832",626,83
"833",627,59
"834",628,83
"835",629,37
"836",630,71
"837",630,95
"838",631,48
"839",632,84
"840",633,59
"841",633,84
"842",634,59
"843",635,25
"844",635,48
"845",636,82
"846",637,36
"847",637,95
"848",638,95
"849",639,95
"850",640,95
"851",641,48
"852",642,48
"853",643,71
"854",644,72
"855",645,71
"856",645,95
"857",646,71
"858",647,95
"859",648,48
"860",648,83
"861",649,71
"862",649,95
"863",650,48
"864",651,37
"865",652,83
"866",653,48
"867",654,95
"868",654,106
"869",655,24
"870",656,24
"871",656,36
"872",656,48
"873",656,59
"874",657,95
"875",658,72
"876",659,95
"877",660,71
"878",661,36
"879",662,60
"880",663,71
"881",664,72
"882",665,48
"883",666,71
"884",667,59
"885",668,25
"886",669,84
"887",670,95
"888",671,71
"889",672,59
"890",673,83
"891",674,72
"892",675,95
"893",676,59
"894",676,60
"895",677,60
"896",678,48
"897",679,95
"898",680,95
"899",681,59
"900",681,72
"901",681,95
"902",682,84
"903",683,71
"904",684,60
"905",684,83
"906",685,37
"907",686,59
"908",687,83
"909",688,25
"910",689,83
"911",690,49
"912",690,61
"913",690,95
"914",691,72
"915",692,48
"916",693,47
"917",694,59
"918",694,71
"919",695,84
"920",696,61
"921",697,83
"922",698,71
"923",699,60
"924",700,60
"925",701,84
"926",702,13
"927",703,83
"928",704,83
"929",705,59
"930",706,94
"931",707,84
"932",708,25
"933",708,37
"934",708,84
"935",709,95
"936",710,71
"937",710,95
"938",711,35
"939",711,71
"940",712,49
"941",713,13
"942",714,60
"943",715,59
"944",715,71
"945",715,95
"946",716,59
"947",717,36
"948",718,48
"949",718,84
"950",719,36
"951",720,71
"952",720,95
"953",721,61
"954",722,47
"955",723,95
"956",724,49
"957",725,83
"958",726,37
"959",726,84
"960",727,71
"961",728,36
"962",728,48
"963",729,95
"964",730,71
"965",731,48
"966",731,84
"967",732,60
"968",733,83
"969",734,59
"970",735,83
"971",736,48
"972",737,95
"973",738,83
"974",739,83
"975",740,48
"976",741,83
"977",742,60
"978",743,48
"979",743,71
"980",744,61
"981",745,95
"982",746,60
"983",746,72
"984",747,95
"985",748,71
"986",749,59
"987",749,84
"988",749,94
"989",749,106
"990",750,83
"991",751,36
"992",752,24
"993",753,59
"994",753,71
"995",754,84
"996",755,49
"997",756,37
"998",757,71
"999",758,72
"1000",759,71
"1001",759,83
"1002",760,71
"1003",761,47
"1004",762,61
"1005",762,84
"1006",762,95
"1007",763,71
"1008",764,95
"1009",765,71
"1010",765,95
"1011",766,72
"1012",767,36
"1013",768,59
"1014",769,95
"1015",770,36
"1016",770,48
"1017",770,59
"1018",770,84
"1019",771,49
"1020",772,71
"1021",773,84
"1022",774,83
"1023",775,106
"1024",776,13
"1025",776,25
"1026",777,95
"1027",778,84
"1028",779,83
"1029",780,24
"1030",781,60
"1031",782,24
"1032",783,72
"1033",784,59
"1034",784,72
"1035",785,48
"1036",785,60
"1037",786,60
"1038",787,72
"1039",788,47
"1040",789,84
"1041",790,83
"1042",790,95
"1043",791,72
"1044",792,95
"1045",793,36
"1046",794,83
"1047",795,83
"1048",795,84
"1049",796,48
"1050",796,59
"1051",797,59
"1052",797,84
"1053",798,48
"1054",799,72
"1055",800,60
"1056",801,83
"1057",802,71
"1058",802,95
"1059",803,36
"1060",803,83
"1061",803,95
"1062",804,36
"1063",804,48
"1064",805,83
"1065",806,72
"1066",807,71
"1067",808,59
"1068",809,72
"1069",810,59
"1070",811,95
"1071",812,84
"1072",813,83
"1073",814,72
"1074",815,60
"1075",816,72
"1076",817,60
"1077",818,36
"1078",818,47
"1079",818,60
"1080",819,59
"1081",820,48
"1082",821,83
"1083",822,48
"1084",823,72
"1085",824,47
"1086",824,83
"1087",825,71
"1088",826,71
"1089",827,60
"1090",828,71
"1091",829,48
"1092",830,49
"1093",831,71
"1094",831,95
"1095",832,59
"1096",833,60
"1097",834,48
"1098",835,83
"1099",835,95
"1100",836,95
"1101",837,60
"1102",838,61
"1103",838,84
"1104",839,71
"1105",839,106
"1106",840,59
"1107",840,84
"1108",840,106
"1109",841,83
"1110",842,71
"1111",843,84
"1112",844,83
"1113",845,72
"1114",845,83
"1115",846,83
"1116",847,84
"1117",848,48
"1118",849,37
"1119",849,83
"1120",850,48
"1121",851,60
"1122",852,83
"1123",853,84
"1124",854,37
"1125",855,83
"1126",856,60
"1127",856,84
"1128",857,60
"1129",858,95
"1130",859,72
"1131",860,59
"1132",861,60
"1133",862,83
"1134",863,60
"1135",863,72
"1136",863,84
"1137",864,25
"1138",864,37
"1139",865,71
"1140",866,59
"1141",867,35
"1142",867,84
"1143",868,95
"1144",869,71
"1145",870,94
"1146",871,25
"1147",872,60
"1148",873,59
"1149",874,60
"1150",875,83
"1151",876,48
"1152",877,83
"1153",878,83
"1154",879,25
"1155",879,60
"1156",879,95
"1157",880,49
"1158",880,72
"1159",881,13
"1160",881,95
"1161",882,36
"1162",882,83
"1163",883,59
"1164",884,71
"1165",885,84
"1166",885,95
"1167",886,48
"1168",886,60
"1169",887,37
"1170",887,49
"1171",887,60
"1172",887,83
"1173",888,36
"1174",889,59
"1175",889,60
"1176",890,24
"1177",891,71
"1178",891,83
"1179",892,48
"1180",893,28
"1181",894,25
"1182",894,59
"1183",894,60
"1184",894,83
"1185",895,59
"1186",895,71
"1187",896,60
"1188",897,48
"1189",897,59
"1190",898,47
"1191",898,71
"1192",899,72
"1193",899,83
"1194",900,47
"1195",901,60
"1196",902,47
"1197",902,72
"1198",903,59
"1199",904,95
"1200",905,48
"1201",905,59
"1202",905,95
"1203",906,84
"1204",907,47
"1205",908,37
"1206",908,48
"1207",909,48
"1208",910,48
"1209",910,71
"1210",911,83
"1211",912,95
"1212",913,95
"1213",914,60
"1214",914,71
"1215",915,71
"1216",916,60
"1217",917,71
"1218",917,83
"1219",918,71
"1220",919,60
"1221",919,84
"1222",920,60
"1223",921,83
"1224",922,25
"1225",923,36
"1226",923,60
"1227",924,48
"1228",924,84
"1229",925,84
"1230",926,48
"1231",927,83
"1232",928,72
"1233",928,83
"1234",929,84
"1235",930,47
"1236",931,59
"1237",932,25
"1238",932,61
"1239",933,60
"1240",934,95
"1241",935,48
"1242",936,95
"1243",937,37
"1244",938,13
"1245",938,60
"1246",939,25
"1247",939,37
"1248",939,48
"1249",940,60
"1250",941,59
"1251",942,83
"1252",943,72
"1253",944,71
"1254",944,95
"1255",945,59
"1256",945,83
"1257",946,60
"1258",947,60
"1259",947,72
"1260",947,95
"1261",948,84
"1262",949,83
"1263",950,83
"1264",951,83
"1265",952,84
"1266",953,72
"1267",954,83
"1268",955,2
"1269",956,72
"1270",957,95
"1271",958,83
"1272",959,84
"1273",959,95
"1274",960,48
"1275",961,71
"1276",962,72
"1277",963,59
"1278",964,72
"1279",965,71
"1280",965,95
"1281",966,71
"1282",967,84
"1283",968,48
"1284",968,71
"1285",969,83
"1286",969,84
"1287",969,95
"1288",970,59
"1289",971,47
"1290",972,59
"1291",973,71
"1292",974,72
"1293",975,71
"1294",976,37
"1295",976,48
"1296",976,61
"1297",976,71
"1298",976,72
"1299",977,48
"1300",977,84
"1301",977,95
"1302",978,84
"1303",979,95
"1304",980,83
"1305",981,36
"1306",982,95
"1307",983,71
"1308",984,60
"1309",984,71
"1310",984,95
"1311",985,72
"1312",986,95
"1313",987,83
"1314",988,60
"1315",989,83
"1316",990,83
"1317",991,48
"1318",991,60
"1319",992,36
"1320",992,71
"1321",993,95
"1322",994,71
"1323",995,48
"1324",995,95
"1325",996,71
"1326",997,83
"1327",998,84
"1328",999,48
"1329",1000,83
"1330",1000,95
"1331",1001,59
"1332",1001,95
"1333",1002,60
"1334",1003,48
"1335",1004,59
"1336",1005,36
"1337",1005,83
"1338",1005,84
"1339",1005,106
"1340",1006,48
"1341",1006,61
"1342",1006,95
"1343",1007,84
"1344",1008,48
"1345",1009,84
"1346",1010,72
"1347",1011,60
"1348",1012,84
"1349",1013,49
"1350",1013,83
"1351",1014,84
"1352",1015,83
"1353",1016,95
"1354",1017,84
"1355",1018,95
"1356",1019,95
"1357",1019,106
"1358",1020,60
"1359",1020,84
"1360",1021,95
"1361",1022,25
"1362",1022,37
"1363",1023,83
"1364",1023,84
"1365",1023,95
"1366",1024,95
"1367",1025,48
"1368",1026,60
"1369",1027,83
"1370",1027,95
"1371",1028,71
"1372",1028,84
"1373",1029,83
"1374",1030,83
"1375",1031,1
"1376",1031,83
"1377",1031,84
"1378",1032,71
"1379",1033,36
"1380",1034,83
"1381",1035,59
"1382",1036,60
"1383",1037,71
"1384",1038,60
"1385",1039,59
"1386",1039,71
"1387",1039,83
"1388",1039,95
"1389",1040,36
"1390",1041,60
"1391",1041,71
"1392",1041,95
"1393",1042,59
"1394",1043,60
"1395",1044,84
"1396",1045,84
"1397",1045,95
"1398",1046,59
"1399",1047,83
"1400",1048,60
"1401",1048,84
"1402",1049,71
"1403",1050,83
"1404",1051,95
"1405",1052,71
"1406",1053,71
"1407",1054,61
"1408",1055,95
"1409",1056,83
"1410",1057,47
"1411",1058,60
"1412",1059,36
"1413",1059,83
"1414",1060,83
"1415",1061,95
"1416",1062,83
"1417",1062,106
"1418",1063,83
"1419",1063,84
"1420",1064,48
"1421",1065,83
"1422",1066,83
"1423",1067,83
"1424",1068,95
"1425",1069,36
"1426",1069,84
"1427",1069,95
"1428",1070,83
"1429",1071,83
"1430",1072,47
"1431",1073,83
"1432",1074,48
"1433",1074,72
"1434",1075,61
"1435",1076,48
"1436",1076,84
"1437",1077,71
"1438",1078,35
"1439",1079,83
"1440",1080,83
"1441",1081,83
"1442",1082,37
"1443",1082,47
"1444",1083,83
"1445",1084,48
"1446",1085,84
"1447",1086,25
"1448",1087,59
"1449",1087,71
"1450",1088,72
"1451",1089,95
"1452",1090,48
"1453",1090,84
"1454",1091,95
"1455",1092,59
"1456",1093,83
"1457",1094,47
"1458",1094,59
"1459",1095,71
"1460",1096,47
"1461",1097,25
"1462",1098,48
"1463",1098,95
"1464",1099,60
"1465",1100,47
"1466",1101,95
"1467",1102,71
"1468",1103,59
"1469",1104,36
"1470",1105,72
"1471",1105,84
"1472",1106,59
"1473",1107,48
"1474",1108,48
"1475",1109,83
"1476",1110,83
"1477",1111,48
"1478",1112,48
"1479",1113,71
"1480",1114,48
"1481",1115,84
"1482",1116,25
"1483",1116,60
"1484",1117,83
"1485",1118,48
"1486",1119,36
"1487",1120,48
"1488",1121,48
"1489",1122,83
"1490",1123,71
"1491",1124,83
"1492",1125,71
"1493",1126,48
"1494",1126,60
"1495",1126,83
"1496",1127,24
"1497",1128,48
"1498",1129,48
"1499",1130,60
"1500",1131,72
"1501",1131,95
"1502",1132,72
"1503",1132,83
"1504",1133,25
"1505",1134,59
"1506",1135,48
"1507",1136,71
"1508",1137,72
"1509",1138,72
"1510",1138,84
"1511",1139,36
"1512",1140,72
"1513",1141,37
"1514",1142,59
"1515",1142,95
"1516",1143,95
"1517",1144,84
"1518",1145,59
"1519",1146,83
"1520",1147,83
"1521",1148,60
"1522",1149,24
"1523",1150,35
"1524",1150,71
"1525",1151,60
"1526",1151,95
"1527",1152,36
"1528",1152,59
"1529",1153,71
"1530",1154,48
"1531",1155,72
"1532",1156,48
"1533",1157,106
"1534",1158,48
"1535",1159,59
"1536",1160,95
"1537",1161,84
"1538",1162,72
"1539",1163,48
"1540",1163,59
"1541",1163,71
"1542",1163,83
"1543",1164,84
"1544",1165,36
"1545",1165,72
"1546",1166,25
"1547",1167,60
"1548",1168,24
"1549",1169,48
"1550",1169,84
"1551",1170,83
"1552",1171,24
"1553",1172,72
"1554",1173,72
"1555",1174,59
"1556",1175,83
"1557",1176,48
"1558",1176,84
"1559",1177,95
"1560",1178,84
"1561",1179,59
"1562",1180,59
"1563",1180,83
"1564",1181,95
"1565",1182,48
"1566",1183,95
"1567",1184,24
"1568",1185,71
"1569",1185,94
"1570",1185,95
"1571",1185,106
"1572",1186,48
"1573",1186,71
"1574",1187,47
"1575",1188,72
"1576",1189,59
"1577",1189,60
"1578",1190,59
"1579",1191,83
"1580",1192,71
"1581",1193,72
"1582",1194,59
"1583",1195,60
"1584",1196,72
"1585",1197,13
"1586",1197,72
"1587",1197,84
"1588",1198,48
"1589",1198,60
"1590",1198,84
"1591",1199,48
"1592",1200,71
"1593",1201,72
"1594",1202,95
"1595",1203,83
"1596",1203,95
"1597",1204,95
"1598",1205,48
"1599",1205,84
"1600",1206,84
"1601",1207,71
"1602",1208,48
"1603",1208,60
"1604",1209,95
"1605",1210,60
"1606",1211,95
"1607",1212,60
"1608",1213,83
"1609",1214,59
"1610",1215,59
"1611",1216,59
"1612",1217,84
"1613",1218,83
"1614",1219,60
"1615",1220,48
"1616",1220,72
"1617",1220,84
"1618",1221,59
"1619",1222,95
"1620",1223,83
"1621",1224,83
"1622",1225,82
"1623",1226,60
"1624",1226,72
"1625",1226,95
"1626",1227,95
"1627",1228,83
"1628",1228,95
"1629",1229,59
"1630",1230,48
"1631",1231,47
"1632",1231,48
"1633",1232,59
"1634",1233,83
"1635",1234,72
"1636",1235,48
"1637",1236,83
"1638",1237,82
"1639",1238,72
"1640",1239,84
"1641",1240,60
"1642",1241,71
"1643",1241,82
"1644",1241,83
"1645",1242,48
"1646",1243,37
"1647",1243,83
"1648",1244,59
"1649",1245,60
"1650",1246,95
"1651",1247,60
"1652",1247,83
"1653",1248,83
"1654",1249,35
"1655",1250,48
"1656",1251,71
"1657",1252,47
"1658",1252,71
"1659",1253,25
"1660",1253,72
"1661",1254,71
"1662",1255,72
"1663",1256,48
"1664",1256,95
"1665",1257,13
"1666",1257,37
"1667",1258,83
"1668",1259,48
"1669",1259,83
"1670",1260,47
"1671",1260,60
"1672",1260,71
"1673",1261,71
"1674",1261,82
"1675",1262,84
"1676",1263,48
"1677",1264,72
"1678",1265,95
"1679",1266,84
"1680",1267,61
"1681",1268,37
"1682",1269,47
"1683",1270,37
"1684",1270,72
"1685",1271,95
"1686",1272,72
"1687",1273,84
"1688",1274,61
"1689",1275,83
"1690",1276,47
"1691",1277,47
"1692",1278,95
"1693",1279,48
"1694",1280,83
"1695",1281,71
"1696",1282,71
"1697",1283,48
"1698",1284,36
"1699",1285,59
"1700",1285,71
"1701",1286,60
"1702",1287,48
"1703",1288,95
"1704",1289,95
"1705",1290,95
"1706",1291,60
"1707",1292,84
"1708",1293,49
"1709",1294,72
"1710",1295,60
"1711",1296,72
"1712",1297,71
"1713",1298,48
"1714",1298,71
"1715",1299,60
"1716",1300,84
"1717",1301,95
"1718",1302,71
"1719",1302,83
"1720",1303,59
"1721",1303,95
"1722",1304,72
"1723",1305,60
"1724",1305,83
"1725",1306,71
"1726",1307,37
"1727",1308,59
"1728",1308,83
"1729",1309,95
"1730",1310,1
"1731",1310,13
