"","sample","highest similarity","duration","start month","month set","similarity index","dataset"
"1",1,0.964285714285714,7,11,83,"Sorenson","trimmed"
"2",2,0.844444444444444,4,11,47,"Sorenson","trimmed"
"3",3,0.958333333333333,5,1,49,"Sorenson","trimmed"
"4",3,0.958333333333333,6,1,61,"Sorenson","trimmed"
