"","sample","highest similarity","duration","start month","month set","similarity index","dataset"
"1",1,0.83698981859668,7,11,83,"Bray","run 1"
"2",2,0.477329833866042,7,11,83,"Bray","run 1"
"3",3,0.460280527276836,5,1,49,"Bray","run 1"
