"","sample","highest similarity","duration","start month","month set","similarity index","dataset"
"1",1,0.916666666666667,6,11,71,"Sorenson","run 2"
"2",2,0.894736842105263,7,11,83,"Sorenson","run 2"
"3",3,0.903225806451613,4,1,37,"Sorenson","run 2"
