"","sample","highest similarity","duration","start month","month set","similarity index","dataset"
"1",1,0.92,4,12,48,"Jaccard","run 1"
"2",2,0.695652173913043,5,11,59,"Jaccard","run 1"
"3",3,0.777777777777778,4,1,37,"Jaccard","run 1"
