"","sample","highest similarity","duration","start month","month set","similarity index","dataset"
"1",1,0.958333333333333,4,12,48,"Sorenson","run 1"
"2",2,0.82051282051282,5,11,59,"Sorenson","run 1"
"3",3,0.875,4,1,37,"Sorenson","run 1"
