"","n","V2"
"1",1,26
"2",1,38
"3",2,37
"4",3,15
"5",3,16
"6",4,16
"7",4,17
"8",5,37
"9",5,61
"10",6,38
"11",7,49
"12",8,2
"13",9,14
"14",10,2
"15",10,14
"16",11,37
"17",12,14
"18",13,50
"19",14,61
"20",15,61
"21",16,4
"22",17,26
"23",18,28
"24",19,28
"25",20,26
"26",21,2
"27",22,16
"28",23,50
"29",24,26
"30",25,26
"31",26,61
"32",27,25
"33",28,25
"34",29,37
"35",30,38
"36",31,28
"37",31,50
"38",32,37
"39",33,16
"40",33,38
"41",34,50
"42",35,37
"43",35,61
"44",36,84
"45",37,61
"46",38,72
"47",39,72
"48",40,61
"49",41,2
"50",42,4
"51",42,38
"52",43,28
"53",43,61
"54",44,61
"55",45,26
"56",46,38
"57",47,50
"58",48,83
"59",49,26
"60",50,72
"61",51,26
"62",52,26
"63",53,26
"64",54,37
"65",55,50
"66",56,61
"67",57,72
"68",58,49
"69",59,49
"70",60,95
"71",61,37
"72",62,4
"73",63,4
"74",64,61
"75",65,61
"76",66,50
"77",67,4
"78",67,26
"79",68,50
"80",68,61
"81",69,37
"82",70,61
"83",71,49
"84",72,72
"85",73,49
"86",74,4
"87",74,39
"88",75,37
"89",75,61
"90",76,37
"91",76,84
"92",77,4
"93",78,2
"94",79,38
"95",80,60
"96",80,72
"97",80,84
"98",81,2
"99",82,28
"100",83,37
"101",84,49
"102",84,61
"103",85,60
"104",86,4
"105",86,61
"106",86,84
"107",87,39
"108",88,25
"109",89,38
"110",90,49
"111",91,26
"112",91,37
"113",92,14
"114",92,28
"115",92,50
"116",93,28
"117",94,60
"118",95,37
"119",96,26
"120",97,37
"121",98,50
"122",99,16
"123",100,28
"124",101,25
"125",102,61
"126",103,4
"127",104,49
"128",104,61
"129",105,49
"130",106,49
"131",107,16
"132",108,2
"133",109,61
"134",110,49
"135",111,15
"136",112,4
"137",113,84
"138",114,25
"139",115,14
"140",115,49
"141",116,28
"142",117,2
"143",118,25
"144",118,61
"145",119,38
"146",120,26
"147",121,37
"148",121,38
"149",122,27
"150",122,50
"151",123,49
"152",124,84
"153",125,49
"154",126,61
"155",127,28
"156",128,4
"157",129,49
"158",130,61
"159",131,26
"160",131,38
"161",132,16
"162",132,27
"163",132,28
"164",133,4
"165",133,14
"166",133,38
"167",134,61
"168",135,2
"169",135,49
"170",136,49
"171",137,49
"172",138,27
"173",139,14
"174",140,26
"175",141,61
"176",142,61
"177",143,14
"178",143,50
"179",144,26
"180",145,26
"181",146,49
"182",147,61
"183",148,49
"184",149,61
"185",150,14
"186",151,37
"187",151,61
"188",152,49
"189",153,37
"190",153,61
"191",154,26
"192",154,27
"193",155,61
"194",156,50
"195",157,37
"196",157,50
"197",157,60
"198",158,37
"199",159,72
"200",160,84
"201",161,49
"202",162,37
"203",163,84
"204",164,60
"205",164,84
"206",165,2
"207",165,16
"208",165,26
"209",166,26
"210",167,37
"211",168,27
"212",169,50
"213",170,84
"214",171,49
"215",172,49
"216",173,26
"217",174,4
"218",175,16
"219",176,49
"220",177,26
"221",177,49
"222",178,4
"223",179,49
"224",180,61
"225",181,4
"226",182,49
"227",183,14
"228",184,2
"229",185,2
